family,config_name,acc_val,f1_val,acc_test,f1_test
GradientBoosting,GBDT_ne300_lr0.1_d3,0.6522880720180045,0.6596525746456735,0.6665416354088523,0.671574816959046
RandomForest,RF_ne300_d14_leaf5_cwnone,0.6511627906976745,0.6593231490030725,0.6714178544636159,0.6783812545997407
RandomForest,RF_ne300_d14_leaf1_cwnone,0.6485371342835708,0.6563444413012618,0.6710427606901725,0.676850845672216
GradientBoosting,GBDT_ne300_lr0.05_d3,0.6492873218304576,0.655261557079039,0.6616654163540885,0.6659442559842174
RandomForest,RF_ne300_d14_leaf5_cwbalanced,0.6485371342835708,0.6550539152236791,0.6714178544636159,0.676601336952925
GradientBoosting,GBDT_ne300_lr0.05_d2,0.6485371342835708,0.6546256831004028,0.6597899474868717,0.665145809040365
RandomForest,RF_ne300_dNone_leaf5_cwbalanced,0.6474118529632408,0.6545396178073668,0.6717929482370593,0.6777948870283493
RandomForest,RF_ne300_d14_leaf1_cwbalanced,0.6474118529632408,0.653715179051196,0.672543135783946,0.6769896970958809
GradientBoosting,GBDT_ne300_lr0.1_d2,0.6466616654163541,0.6531787434406412,0.6605401350337584,0.6661825294102118
RandomForest,RF_ne300_dNone_leaf5_cwnone,0.6429107276819205,0.6504844264003051,0.6676669167291823,0.6736469637783297
RandomForest,RF_ne300_dNone_leaf1_cwbalanced,0.6342835708927231,0.6424387954651907,0.6669167291822956,0.672996801119471
RandomForest,RF_ne300_dNone_leaf1_cwnone,0.6282820705176294,0.6337855784962348,0.6646661665416355,0.669368728213408
